Status [1]	Topic	Objective Description	Baseline Value	Baseline Year	Final Value [2]	Final Year	Target	Movement Toward Target [3]	Movement Away From Baseline [4] (if movement not toward target)	Movement Statistically Significant [5][6]
4	Physical Activity	PA-4.2. Middle and junior high schools requiring daily physical education (percent)	10.5	2006	3.4	2014	11.5	...	67.6	Yes
1	Physical Activity	PA-4.3. Senior high schools requiring daily physical education (percent)	2.1	2006	4.0	2014	2.3	950.0	...	No
3	Physical Activity	PA-5. Adolescents participating in daily school physical education (percent, grades 9–12)	33.3	2009	29.9	2017	36.6	...	10.2	No
5	Physical Activity	PA-6.1. States requiring regular elementary school recess (number)	7	2006	...		17	...	...	...
1	Physical Activity	PA-6.2. School districts requiring regular elementary school recess (percent)	57.1	2006	64.8	2016	62.8	135.1	...	No
3	Physical Activity	PA-7. School districts requiring regular elementary school recess for 20 minutes or more (percent)	61.5	2006	64.5	2016	67.7	48.4	...	No
5	Physical Activity	PA-8.1. Children viewing no television, videos, or video games on weekdays (percent, ages 0–2 years)	40.6	2007	...		44.7	...	...	...
3	Physical Activity	PA-8.2.1. Children viewing television, videos, or video games for 2 hours or less a day (percent, ages 2–5 years)	75.6	2005–2008	76.2	2009–2012	83.2	7.9	...	No
5	Physical Activity	PA-8.2.2. Children and adolescents viewing television, videos, or video games for 2 hours or less a day (percent, ages 6–14 years)	78.9	2007	...		86.8	...	...	...
1	Physical Activity	PA-8.2.3. Adolescents viewing television, videos, or video games for 2 hours or less a day (percent, grades 9–12)	67.2	2009	79.3	2017	73.9	180.6	...	Yes
6	Physical Activity	PA-8.3.1. Children using a computer for nonschool work for 2 hours or less a day (percent, ages 2–5 years)	97.4	2005–2008	97.5	2009–2012	...	...	...	...
5	Physical Activity	PA-8.3.2. Children and adolescents using a computer for nonschool work for 2 hours or less a day (percent, ages 6–14 years)	93.3	2007	...		100.0	...	...	...
4	Physical Activity	PA-8.3.3. Adolescents using a computer for nonschool work for 2 hours or less a day (percent, grades 9–12)	75.1	2009	57.0	2017	82.6	...	24.1	Yes
5	Physical Activity	PA-9.1. State child care licensing regulations requiring activity programs for large muscle or gross motor activity (number of states)	25	2006	...		35	...	...	...
5	Physical Activity	PA-9.2. State child care licensing regulations requiring child participation in vigorous or moderate physical activity (number of states)	3	2006	...		13	...	...	...
5	Physical Activity	PA-9.3. State child care licensing regulations requiring child participation in physical activity for a specified time period (number of states)	1	2006	...		11	...	...	...
3	Physical Activity	PA-10. Schools providing access to physical activity facilities during nonschool time (percent)	28.8	2006	25.9	2014	31.7	...	10.1	No
1	Physical Activity	PA-11.1. Office visits for cardiovascular disease, diabetes, or hyperlipidemia that include exercise counseling (age-adjusted percent, ages 20 and over)	7.7	2012	15.0	2015	8.5	912.5	...	No
1	Physical Activity	PA-11.2. Physician visits by child or adult patients that include exercise counseling (age-adjusted percent)	5.3	2012	9.4	2015	5.8	820.0	...	No
5	Physical Activity	PA-13.1. Walking for transportation—Adults—Trips of 1 mile or less (age-adjusted percent, ages 18 and over)	33.4	2009	...		36.7	...	...	...
5	Physical Activity	PA-13.2. Walking to school—Children and adolescents—Trips of 1 mile or less (percent, ages 5–15 years)	28.8	2009	...		31.7	...	...	...
5	Physical Activity	PA-14.1. Bicycling for transportation—Adults—Trips of 5 miles or less (age-adjusted percent, ages 18 and over)	1.0	2009	...		3.0	...	...	...
5	Physical Activity	PA-14.2. Bicycling to school—Children and adolescents—Trips of 2 miles or less (percent, ages 5–15 years)	1.4	2009	...		3.4	...	...	...
5	Preparedness	PREP-2. Designated personnel report-to-duty time in a public health emergency (average time in minutes)	66	2009	...		59	...	...	...
5	Preparedness	PREP-4. Timely production of after-action reports and improvement plans after simulation exercise (average time in days)	46	2009	...		41	...	...	...
2	Preparedness	PREP-5.1. School districts requiring schools to include family reunification plans (percent)	67.8	2012	74.4	2016	74.6	97.1	...	Yes
3	Preparedness	PREP-5.2. School districts requiring response procedures for pandemic flu or other infectious disease outbreaks (percent)	69.0	2012	65.3	2016	75.9	...	5.4	No
3	Preparedness	PREP-5.3. School districts requiring schools to include provisions for students and staff with special needs (percent)	79.9	2012	79.9	2016	87.9	...	0.0	...
1	Preparedness	PREP-5.4. School districts requiring schools to include mental health services for students and staff after a crisis has occurred (percent)	69.3	2012	77.6	2016	76.2	120.3	...	Yes
3	Preparedness	PREP-7. Household discussions of emergency plans (percent)	79.2	2011	76.9	2012	89.5	...	2.9	No
3	Preparedness	PREP-13. Adults whose households have a disaster emergency plan (percent, ages 18 and over)	46.0	2011	43.2	2012	51.2	...	6.1	No
2	Preparedness	PREP-15.1. Active bystander CPR for patients with a nontraumatic cardiac arrest (percent)	39.6	2015	40.5	2018	44.6	18.0	...	Yes
2	Preparedness	PREP-15.2. Active bystander AED use for patients with a nontraumatic cardiac arrest in a public location (percent)	11.2	2015	12.3	2018	13.7	44.0	...	Yes
3	Preparedness	PREP-15.3. Active bystander intervention and survival to hospital discharge (percent)	14.2	2015	14.2	2018	16.7	...	0.0	...
2	Preparedness	PREP-15.4. Active bystander intervention and survival to hospital discharge for patients with a bystander witnessed nontraumatic cardiac arrest (percent)	39.1	2015	40.7	2018	44.1	32.0	...	Yes
3	Preparedness	PREP-16.1. Medical Reserve Corps units participating in preparedness training and exercises (percent)	90	2013	83	2017	95	...	7.8	...
2	Preparedness	PREP-16.2. Medical Reserve Corps units participating in public health activities (percent)	58	2013	72	2015	75	82.4	...	...
2	Preparedness	PREP-16.3. Medical Reserve Corps complying with the National Incident Management System (percent)	95	2013	97	2015	99	50.0	...	...
1	Preparedness	PREP-17.1. Preparedness training and exercises in which Medical Reserve Corps units participate (number)	4,854	2013	5,956	2015	5,097	453.5	...	...
1	Preparedness	PREP-17.2. Public health activities in which Medical Reserve Corps units participate (number)	2,881	2013	7,485	2015	3,371	939.6	...	...
6	Preparedness	PREP-18.1. Healthcare coalition members (number)	24,143	2015	28,055	2017	...	...	...	...
2	Preparedness	PREP-19. Emergency medical services call-reporting to the National EMS information system (number of states and District of Columbia)	0	2015	9	2019	51	17.6	...	...
2	Preparedness	PREP-20.1. Evacuation plans with relocation site required of child care providers (number of states and District of Columbia)	17	2009	38	2015	51	61.8	...	...
2	Preparedness	PREP-20.2. Postdisaster reunification plans for relocated families required of child care providers (number of states and District of Columbia)	12	2009	39	2015	51	69.2	...	...
2	Preparedness	PREP-20.3. Emergency plans for children with access and functional needs including disabilities required of child care providers (number of states and District of Columbia)	10	2009	32	2015	51	53.7	...	...
1	Public Health Infrastructure	PHI-1.3.1. State public health agencies incorporating Core Competencies for Public Health Professionals into job descriptions (percent)	25	2012	34	2016	28	300.0	…	…
1	Public Health Infrastructure	PHI-1.3.2. State public health agencies incorporating Core Competencies for Public Health Professionals into performance evaluations (percent)	15	2012	22	2016	16	700.0	…	…
1	Public Health Infrastructure	PHI-1.4.1. Local public health agencies incorporating Core Competencies for Public Health Professionals into job descriptions (percent)	13	2013	26	2016	14	1,300.0	…	Yes
1	Public Health Infrastructure	PHI-1.4.2. Local public health agencies incorporating Core Competencies for Public Health Professionals into performance evaluations (percent)	14	2013	23	2016	15	900.0	…	Yes
1	Public Health Infrastructure	PHI-2.2. State public health agencies incorporating Core Competencies for Public Health Professionals into developing training plans (percent)	52	2012	72	2016	57	400.0	…	…
1	Public Health Infrastructure	PHI-2.3. Local public health agencies incorporating Core Competencies for Public Health Professionals into developing training plans (percent)	14	2013	28	2016	18	350.0	…	Yes
3	Public Health Infrastructure	PHI-3. Schools of public health and schools of nursing incorporating Core Competencies for Public Health Professionals into curricula (percent)	91	2006	88	2016	94	…	3.3	…
1	Public Health Infrastructure	PHI-4.1. Public health or related graduate degrees and postbaccalaureate certificates awarded (number)	16,188	2014–2015	18,579	2016–2017	17,807	147.7	…	…
1	Public Health Infrastructure	PHI-4.2. Public health or related bachelor’s degrees awarded (number)	10,722	2014–2015	14,016	2016–2017	11,794	307.3	…	…
1	Public Health Infrastructure	PHI-6.1. Public health or related associate degrees and sub-baccalaureate certificates awarded (number)	719	2014–2015	881	2016–2017	791	225.0	…	…
6	Public Health Infrastructure	PHI-7.1. Population-based objectives that report estimates by race and ethnicity (percent)	39.9	2013	40.4	2017	…	…	…	…
6	Public Health Infrastructure	PHI-7.2. Population-based objectives that report estimates by sex (percent)	85.7	2013	83.1%	2017	…	…	…	…
6	Public Health Infrastructure	PHI-7.3. Population-based objectives that report estimates by socioeconomic status (percent)	57.1	2013	57.6	2017	…	…	…	…
2	Public Health Infrastructure	PHI-8.1. Objectives that have at least one data point (percent)	81	2014	84	2017	97	18.8	…	…
2	Public Health Infrastructure	PHI-8.2. Objectives that have at least two data points (percent)	48	2014	75	2017	84	75.0	…	…
2	Public Health Infrastructure	PHI-8.3. Objectives that are tracked at least every 3 years (percent)	45	2014	62	2017	66	81.0	…	…
2	Public Health Infrastructure	PHI-9. Objectives for which national data are reported in a timely manner (percent)	74	2014	80	2018	81	85.7	…	…
1	Public Health Infrastructure	PHI-10.1. Reporting areas using the latest U.S. Standard Birth Certificate (number of states, the District of Columbia, and New York City)	28	2008	52	2018	52	100.0	…	…
1	Public Health Infrastructure	PHI-10.2. Reporting areas using the latest U.S. Standard Death Certificate (number of states, the District of Columbia, and New York City)	32	2008	52	2018	52	100.0	…	…
1	Public Health Infrastructure	PHI-10.3. Reporting areas using the latest U.S. Standard Fetal Death Report (number of states, the District of Columbia, and New York City)	22	2008	52	2018	52	100.0	…	…
2	Public Health Infrastructure	PHI-11.1. Tribal and state public health agencies with laboratories supporting disease prevention, control, and surveillance (percent)	90	2008	98	2018	99	88.9	…	…
1	Public Health Infrastructure	PHI-11.2. Tribal and state public health agencies with laboratories that incorporate integrated data management (percent)	55	2008	96	2018	60	820.0	…	…
1	Public Health Infrastructure	PHI-11.3. Tribal and state public health agencies with laboratories that support reference and specialized testing (percent)	78	2008	91	2018	86	162.5	…	…
1	Public Health Infrastructure	PHI-11.4. Tribal and state public health agencies with laboratories that support environmental health and protection (percent)	55	2008	62	2018	60	140.0	…	…
1	Public Health Infrastructure	PHI-11.5. Tribal and state public health agencies with laboratories that support food safety (percent)	27	2008	60	2018	30	1,100.0	…	…
1	Public Health Infrastructure	PHI-11.6. Tribal and state public health agencies with laboratories that advance laboratory improvement and regulation (percent)	43	2008	82	2018	47	975.0	…	…
1	Public Health Infrastructure	PHI-11.7. Tribal and state public health agencies with laboratories that support policy development (percent)	67	2008	76	2018	74	128.6	…	…
1	Public Health Infrastructure	PHI-11.8. Tribal and state public health agencies with laboratories that support emergency response (percent)	69	2008	100	2018	76	442.9	…	…
1	Public Health Infrastructure	PHI-11.9. Tribal and state public health agencies with laboratories that support public health research (percent)	29	2008	58	2018	32	966.7	…	…
1	Public Health Infrastructure	PHI-11.10. Tribal and state public health agencies with laboratories that support training and education programs (percent)	49	2008	93	2018	54	880.0	…	…
4	Public Health Infrastructure	PHI-11.11. Tribal and state public health agencies with laboratories that foster partnerships and communication (percent)	61	2008	42	2018	67	…	31.1	…
1	Public Health Infrastructure	PHI-12.1. Public health laboratory systems that monitor health status to identify and solve community health problems at a high level of quality (percent)	35	2012	43	2016	38	266.7	…	…
2	Public Health Infrastructure	PHI-12.2. Public health laboratory systems that diagnose and investigate health problems and health hazards in the community at a high level of quality (percent)	58	2012	63	2016	64	83.3	…	…
1	Public Health Infrastructure	PHI-12.3. Public health laboratory systems that inform, educate, and empower people about health issues at a high level of quality (percent)	28	2012	48	2016	31	666.7	…	…
1	Public Health Infrastructure	PHI-12.4. Public health laboratory systems that mobilize community partnerships and action to identify and solve health problems at a high level of quality (percent)	14	2012	18%	2016	15%	400.0	…	…
1	Public Health Infrastructure	PHI-12.5. Public health laboratory systems that develop policies and plans that support individual and community health efforts at a high level of quality (percent)	26	2012	35	2016	29	300.0	…	…
1	Public Health Infrastructure	PHI-12.6. Public health laboratory systems that enforce laws and regulations that protect health and ensure safety at a high level of quality (percent)	60	2012	70	2016	66	166.7	…	…
1	Public Health Infrastructure	PHI-12.7. Public health laboratory systems that link people to needed personal health services and assure the provision of health care when otherwise unavailable at a high level of quality (percent)	35	2012	40	2016	38	166.7	…	…
1	Public Health Infrastructure	PHI-12.8. Public health laboratory systems that assure a competent public and personal health care workforce at a high level of quality (percent)	21	2012	35	2016	23	700.0	…	…
1	Public Health Infrastructure	PHI-12.9. Public health laboratory systems that evaluate effectiveness, accessibility, and quality of personal and population-based health services at a high level of quality (percent)	5	2012	10	2016	6	500.0	…	…
1	Public Health Infrastructure	PHI-12.10. Public health laboratory systems that support research into new insights and innovative solutions to health problems at a high level of quality (percent)	5	2012	15	2016	6	1,000.0	…	…
3	Public Health Infrastructure	PHI-13.1. State epidemiologists with formal training in epidemiology (percent)	87	2009	88	2013	100	7.7	…	No
2	Public Health Infrastructure	PHI-13.3. State public health agencies providing comprehensive epidemiology services (percent)	55	2009	84	2017	100	64.4	…	…
2	Public Health Infrastructure	PHI-13.4. Local public health agencies providing comprehensive epidemiology services (percent)	35	2008	43	2016	100	12.3	…	Yes
5	Public Health Infrastructure	PHI-14.1. State public health systems conducting public health system assessments (percent)	49	2009	…		78	…	…	…
5	Public Health Infrastructure	PHI-14.2. Local public health systems conducting public health system assessments (percent)	28	2009	…		50	…	…	…
1	Public Health Infrastructure	PHI-15.2. State public health agencies with a health improvement plan (percent)	49	2012	88	2016	54	780.0	…	…
1	Public Health Infrastructure	PHI-15.3. Local public health agencies with a health improvement plan (percent)	55	2013	67	2016	61	200.0	…	Yes
2	Public Health Infrastructure	PHI-15.4. Local public health agencies with a health improvement plan linked to their state plan (percent)	64	2013	67	2016	72	37.5	…	Yes
1	Public Health Infrastructure	PHI-16.2. State public health agencies with an agency-wide quality improvement program (percent)	27	2012	47	2016	30	666.7	…	…
1	Public Health Infrastructure	PHI-16.3. Local public health agencies with an agency-wide quality improvement program (percent)	23	2013	27	2016	25	200.0	…	Yes
6	Public Health Infrastructure	PHI-17.1. Accredited tribal public health agencies (number)	0	2014	3	2019	…	…	…	…
1	Public Health Infrastructure	PHI-17.2. Accredited state public health agencies (percent)	9.8	2014	70.6	2019	15.8	1,013.0	…	…
1	Public Health Infrastructure	PHI-17.3. Accredited local public health agencies (percent)	1.7	2014	13.4	2019	3.7	585.0	…	…
6	Respiratory Diseases	RD-1.1. Asthma deaths among children and adults (per million population, under age 35 years)	3.4	2007	4.0	2017	...	...	...	...
3	Respiratory Diseases	RD-1.2. Asthma deaths among adults (per million population, ages 35–64)	11.0	2007	11.4	2017	4.9	...	3.6	No
2	Respiratory Diseases	RD-1.3. Asthma deaths among adults (per million population, ages 65 and over)	43.4	2007	30.4	2017	21.5	59.4	...	Yes
3	Respiratory Diseases	RD-2.1. Hospitalizations for asthma among children (per 10,000 population, under age 5 years)	41.4	2007	40.6	2009	18.2	3.4	...	No
3	Respiratory Diseases	RD-2.2. Hospitalizations for asthma among children and adults (age adjusted, per 10,000 population, ages 5–64 years)	11.1	2007	10.5	2010	8.7	25.0	...	No
3	Respiratory Diseases	RD-2.3. Hospitalizations for asthma among adults (age adjusted, per 10,000 population, ages 65 and over)	25.3	2007	25.5	2010	20.1	...	0.8	No
3	Respiratory Diseases	RD-3.1. Emergency department visits for asthma among children (per 10,000 population, under age 5 years)	132.8	2005–2007	129.6	2013–2015	95.7	8.6	...	No
3	Respiratory Diseases	RD-3.2. Emergency department visits for asthma among children and adults (per 10,000 population, ages 5–64 years)	57.0	2005–2007	59.0	2013–2015	49.6	...	3.5	No
3	Respiratory Diseases	RD-3.3. Emergency department visits for asthma among adults (per 10,000 population, ages 65 and over)	21.9	2005–2007	16.0	2013–2015	13.7	72.0	...	No
1	Respiratory Diseases	RD-4. Activity limitations among persons with asthma (age-adjusted percent)	12.7	2008	9.4	2018	10.3	137.5	...	Yes
3	Respiratory Diseases	RD-5.1. Children with asthma who miss school days (percent, ages 5–17 years)	58.7	2008	53.3	2018	48.8	54.5	...	No
3	Respiratory Diseases	RD-5.2. Adults with asthma who miss work days (percent, ages 18–64)	33.2	2008	37.6	2018	26.7	...	13.3	No
3	Respiratory Diseases	RD-6. Persons with asthma receiving patient education (age-adjusted percent)	12.1	2008	12.8	2013	14.5	29.2	...	No
3	Respiratory Diseases	RD-7.1. Persons with asthma receiving written asthma plans from health care providers (age-adjusted percent)	33.4	2008	35.5	2018	36.8	61.8	...	No
6	Respiratory Diseases	RD-7.2. Persons with asthma receiving proper use instructions with prescribed inhalers (age-adjusted percent)	95.9	2008	...		...	...	...	...
3	Respiratory Diseases	RD-7.3. Persons with asthma receiving education on early signs, symptoms, and responses to asthma episodes (age-adjusted percent)	64.8	2008	68.4	2018	68.5	97.3	...	No
4	Respiratory Diseases	RD-7.4. Persons with asthma who do not use more than 1 beta agonist inhalation canister per month (age-adjusted percent)	87.9	2008	84.2	2018	90.2	...	4.2	Yes
4	Respiratory Diseases	RD-7.5. Persons with asthma receiving advice from health professionals in reducing exposure to environmental risk factors (age-adjusted percent)	50.8	2008	45.2	2018	54.6	...	11.0	Yes
4	Respiratory Diseases	RD-7.6. Persons with asthma who have had at least one routine medical follow-up visit in the past 12 months (age-adjusted percent)	57.2	2013	54.0	2018	60.4	...	5.6	Yes
3	Respiratory Diseases	RD-7.7. Persons with asthma whose doctor assessed their asthma control at the last visit (age-adjusted percent)	52.2	2013	49.6	2018	55.9	...	5.0	No
3	Respiratory Diseases	RD-7.8. Adults with current asthma who have discussed with a doctor or other health professional whether their asthma was work related (age-adjusted percent, ages 18 and over)	14.4	2010	12.1	2018	17.9	...	16.0	No
4	Respiratory Diseases	RD-8. States, District of Columbia, and territories with comprehensive asthma surveillance systems (number)	43	2009	37	2018	47	...	14.0	...
3	Respiratory Diseases	RD-9. Activity limitations among persons with chronic obstructive pulmonary disease (COPD) (age-adjusted percent, ages 45 and over)	23.2	2008	20.6	2018	18.7	57.8	...	No
3	Respiratory Diseases	RD-10. Chronic obstructive pulmonary disease (COPD) deaths (age adjusted, per 100,000 population, ages 45 and over)	113.9	2007	113.4	2017	102.6	4.4	...	No
3	Respiratory Diseases	RD-11. Hospitalizations for chronic obstructive pulmonary disease (COPD) (age adjusted, per 10,000 population, ages 45 and over)	56.0	2007	58.7	2010	50.1	...	4.8	No
3	Respiratory Diseases	RD-12. Emergency department visits for chronic obstructive pulmonary disease (COPD) (age adjusted, per 10,000 population, ages 45 and over)	81.7	2007	80.7	2015	56.8	4.0	...	No
4	Sexually Transmitted Diseases	STD-1.1. Chlamydia trachomatis infections among females attending family planning clinics (percent, ages 15–24)	8.0	2015	9.0	2017	7.2	...	12.5	...
2	Sexually Transmitted Diseases	STD-1.2. Chlamydia trachomatis infections among females enrolled in a National Job Training Program (percent, ages 15–24 )	12.8	2008	11.8	2017	11.5	76.9	...	...
2	Sexually Transmitted Diseases	STD-1.3. Chlamydia trachomatis infections among males enrolled in a National Job Training Program (percent, ages 15–24)	7.0	2008	6.6	2017	6.3	57.1	...	...
2	Sexually Transmitted Diseases	STD-3.1. Sexually active females on Medicaid screened for genital chlamydia (percent, ages 16–20)	52.7	2008	57.2	2017	70.9	24.7	...	...
2	Sexually Transmitted Diseases	STD-3.2. Sexually active females on Medicaid screened for genital chlamydia (percent, ages 21–24)	59.4	2008	65.5	2017	80.0	29.6	...	...
2	Sexually Transmitted Diseases	STD-4.1. Sexually active females with commercial health insurance screened for genital chlamydia (percent, ages 16–20)	40.1	2008	45.8	2017	61.3	26.9	...	...
2	Sexually Transmitted Diseases	STD-4.2. Sexually active females with commercial health insurance screened for genital chlamydia (percent, ages 21–24)	43.5	2008	56.4	2017	74.6	41.5	...	...
1	Sexually Transmitted Diseases	STD-5. Females ever treated for pelvic inflammatory disease (percent, ages 15–44)	4.2	2006–2010	3.2	2015–2017	3.8	250.0	...	No
4	Sexually Transmitted Diseases	STD-6.1. New cases of gonorrhea among females (per 100,000 population, ages 15–44)	279.9	2008	350.0	2017	251.9	...	25.0	...
4	Sexually Transmitted Diseases	STD-6.2. New cases of gonorrhea among males (per 100,000 population, ages 15–44)	216.5	2008	440.4	2017	194.8	...	103.4	...
4	Sexually Transmitted Diseases	STD-7.1. New cases of primary and secondary syphilis among females (per 100,000 population)	1.4	2008	2.3	2017	1.3	...	64.3	...
4	Sexually Transmitted Diseases	STD-7.2. New cases of primary and secondary syphilis among males (per 100,000 population)	7.4	2008	16.9	2017	6.7	...	128.4	...
4	Sexually Transmitted Diseases	STD-8. New cases of congenital syphilis (per 100,000 live births)	10.7	2008	23.3	2017	9.6	...	117.8	...
1	Sexually Transmitted Diseases	STD-10. Genital herpes infection due to herpes simplex type 2 among young adults (percent, ages 20–29)	10.5	2005–2008	7.2	2013–2016	9.5	330.0	...	No
1	Sleep Health	SH-1. Adults with symptoms of obstructive sleep apnea who seek medical evaluation (age-adjusted percent, ages 20 and over)	25.6	2005–2008	32.8	2015–2016	27.8	327.3	...	Yes
3	Sleep Health	SH-2. Motor vehicle crashes involving drowsy driving (per 100 million vehicle miles)	2.7	2008	2.9	2015	2.1	...	7.4	No
4	Sleep Health	SH-3. Students getting sufficient sleep on school nights (percent, grades 9–12)	30.9	2009	25.4	2017	33.1	...	17.8	Yes
4	Sleep Health	SH-4. Adults getting sufficient sleep per night (percent, ages 18 and over)	71.6	2008	67.4	2018	72.8	...	5.9	Yes
6	Social Determinants of Health	SDOH-1. Children living with at least one parent employed year round, full time (percent, ages 17 years and under)	71	2010	78	2017	...	...	...	...
6	Social Determinants of Health	SDOH-2. High school completers enrolled in college the October following high school completion (percent, ages 16–24)	68.1	2010	69.1	2018	...	...	...	...
6	Social Determinants of Health	SDOH-3.1. Persons living in poverty (percent, all ages)	15.1	2010	11.8	2018	...	...	...	...
6	Social Determinants of Health	SDOH-3.2. Children living in poverty (percent, ages 17 years and under)	22.0	2010	16.2	2018	...	...	...	...
6	Social Determinants of Health	SDOH-4.1.1. Households that spend more than 30% of income on housing (percent)	34.6	2007	34.2	2013	...	...	...	...
6	Social Determinants of Health	SDOH-4.1.2. Households earning less than 200% of the poverty threshold that spend more than 30% of income on housing (percent)	65.1	2007	65.4	2013	...	...	...	...
6	Social Determinants of Health	SDOH-4.2.1. Households that spend more than 50% of income on housing (percent)	15.5	2007	16.2	2013	...	...	...	...
6	Social Determinants of Health	SDOH-4.2.2. Renter households that spend more than 50% of income on housing (percent)	22.2	2007	24.2	2013	...	...	...	...
6	Social Determinants of Health	SDOH-5. Children of incarcerated parents (percent, ages 17 years and under)	6.9	2011–2012	...		...	...	...	...
6	Social Determinants of Health	SDOH-6.1. Registered voters (percent, citizens ages 18 and over)	65.1	2010	66.9	2018	...	...	...	...
6	Social Determinants of Health	SDOH-6.2. Registered voters who voted (percent, citizens ages 18 and over)	45.5	2010	53.4	2018	...	...	...	...
1	Substance Abuse	SA-1. Adolescents who, within the past 30 days, rode with a driver who had been drinking alcohol (percent, grades 9–12)	28.3	2009	16.5	2017	25.5	421.4	...	Yes
2	Substance Abuse	SA-2.1. At-risk adolescents who, in the past year, refrained from alcohol use for the first time (percent, ages 12–17)	85.6	2008	88.5	2018	94.2	33.7	...	Yes
3	Substance Abuse	SA-2.2. At-risk adolescents who, in the past year, refrained from marijuana use for the first time (percent, ages 12–17)	94.3	2008	94.0	2018	96.3	...	0.3	No
1	Substance Abuse	SA-2.3. High school seniors never using alcoholic beverages (percent)	27.7	2009	41.5	2018	30.5	492.9	...	Yes
3	Substance Abuse	SA-2.4. High school seniors never using illicit drugs (percent)	53.3	2009	52.2	2018	58.6	...	2.1	No
3	Substance Abuse	SA-3.1. Adolescents who disapprove of having 1–2 alcoholic drinks every day—8th graders (percent)	78.5	2009	77.9	2018	86.4	...	0.8	No
3	Substance Abuse	SA-3.2. Adolescents who disapprove of having 1–2 alcoholic drinks every day—10th graders (percent)	77.6	2009	77.9	2018	85.4	3.8	...	No
2	Substance Abuse	SA-3.3. Adolescents who disapprove of having 1–2 alcoholic drinks every day—12th graders (percent)	70.5	2009	74.7	2018	77.6	59.2	...	Yes
4	Substance Abuse	SA-3.4. Adolescents who disapprove of trying marijuana or hashish once or twice—8th graders (percent)	75.3	2009	64.5	2018	82.8	...	14.3	Yes
4	Substance Abuse	SA-3.5. Adolescents who disapprove of trying marijuana or hashish once or twice—10th graders (percent)	60.1	2009	47.9	2018	66.1	...	20.3	Yes
4	Substance Abuse	SA-3.6. Adolescents who disapprove of trying marijuana or hashish once or twice—12th graders (percent)	54.8	2009	41.1	2018	60.3	...	25.0	Yes
3	Substance Abuse	SA-4.1. Adolescents perceiving great risk in consuming 5 or more alcoholic drinks once or twice a week (percent, ages 12–17)	42.5	2015	43.2	2018	46.8	16.3	...	No
4	Substance Abuse	SA-4.2. Adolescents perceiving great risk in smoking marijuana once a month (percent, ages 12–17)	27.3	2015	22.8	2018	30.0	...	16.5	Yes
4	Substance Abuse	SA-4.3. Adolescents perceiving great risk in using cocaine once a month (percent, ages 12–17)	56.7	2015	54.2	2018	62.4	...	4.4	Yes
5	Substance Abuse	SA-6. States with mandatory ignition interlock laws for impaired driving offenders (number of states and District of Columbia)	13	2009	...		51	...	...	...
1	Substance Abuse	SA-7. Admissions to substance abuse treatment programs for treatment of injection drug use (number)	255,374	2006	300,230	2011	280,911	175.7	...	...
3	Substance Abuse	SA-8.1. Persons who needed and received illicit drug treatment at a specialty facility in the past year (percent, ages 12 years and over)	18.3	2015	15.9	2018	20.1	...	13.1	No
3	Substance Abuse	SA-8.2. Persons who needed and received illicit drug treatment, alcohol treatment, or both at a specialty facility in the past year (percent, ages 12 years and over)	10.8	2015	11.1	2018	11.9	27.3	...	No
3	Substance Abuse	SA-8.3. Persons who needed and received alcohol treatment at a specialty facility in the past year (percent, ages 12 years and over)	8.2	2015	8.9	2018	9.0	87.5	...	No
5	Substance Abuse	SA-10. Levels I and II trauma centers implementing evidence-based alcohol Screening and Brief Intervention (number)	325	2009	...		358	...	...	...
4	Substance Abuse	SA-11. Cirrhosis deaths (age adjusted, per 100,000 population)	9.1	2007	10.9	2017	8.2	...	19.8	Yes
4	Substance Abuse	SA-12. Drug-induced deaths (age adjusted, per 100,000 population)	12.6	2007	22.8	2017	11.3	...	81.0	Yes
2	Substance Abuse	SA-13.1. Adolescents using alcohol or illicit drugs in past 30 days (percent, ages 12–17)	14.2	2015	13.2	2018	12.8	71.4	...	Yes
3	Substance Abuse	SA-13.2. Adolescents using marijuana in past 30 days (percent, ages 12–17)	6.7	2008	6.7	2018	6.0	...	0.0	...
4	Substance Abuse	SA-13.3. Adults using any illicit drugs in the past 30 days (percent, ages 18 and over)	10.2	2015	12.0	2018	9.2	...	17.6	Yes
1	Substance Abuse	SA-14.1. Binge drinking in past 2 weeks—High school seniors (percent)	25.2	2009	13.8	2018	22.7	456.0	...	Yes
1	Substance Abuse	SA-14.2. Binge drinking in past 2 weeks—College students (percent)	41.1	2007	28.3	2018	37.0	312.2	...	...
3	Substance Abuse	SA-14.3. Binge drinking in past month—Adults (percent, ages 18 and over)	26.9	2015	26.5	2018	24.2	14.8	...	No
1	Substance Abuse	SA-14.4. Binge drinking in past month—Adolescents (percent, ages 12–17)	5.8	2015	4.7	2018	5.2	183.3	...	Yes
3	Substance Abuse	SA-15. Adults who drank excessively in past 30 days (percent, ages 18 and over)	27.8	2015	27.4	2018	25.0	14.3	...	No
3	Substance Abuse	SA-16. Average annual alcohol consumption (gallons per person, ages 14 and over)	2.3	2007	2.3	2017	2.1	...	0.0	...
1	Substance Abuse	SA-17. Alcohol-related motor vehicle crash deaths (per 100 million vehicle miles, 0.08 blood alcohol content)	0.39	2008	0.34	2017	0.38	500.0	...	Yes
6	Substance Abuse	SA-18.1. Steroid use among 8th graders in the past year (percent)	0.78	2009	0.64	2018	...	...	...	...
6	Substance Abuse	SA-18.2. Steroid use among 10th graders in the past year (percent)	0.79	2009	0.64	2018	...	...	...	...
